"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.30126055","92.75531084","93.21031301","93.66626706","94.12317301","94.58103083","95.03984055","95.49960215","95.96031564","96.42198101","96.88459827","97.34816742","97.81268845","98.27816137","98.74458618","99.21196287","99.54225535","99.68983735","99.83741935","99.98500135","100","",
"American Samoa","ASM","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","99.99726884","99.99413307","99.9909973","99.98786152","99.98472575","99.98158997","99.9784542","99.97531843","99.97218265","99.96904688","99.96591111","99.96277533","99.95963956","99.95650379","99.95336801","99.95336801","99.95336801","99.95336801","",
"Azerbaijan","AZE","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.93642746","73.86950441","74.80258137","75.73565833","76.66873528","78.5655316","80.48550327","82.42865027","84.39497262","86.38447031","88.39714335","90.43299173","92.49201546","94.57421452","95.61158053","96.44327863","96.44327863","96.44327863","96.44327863","96.44327863","96.44327863","",
"Burundi","BDI","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.55777656","41.25284903","41.94792149","42.64299396","42.70736894","42.75151318","42.77542669","42.77910947","42.76256151","42.72578282","42.66877339","42.59153323","42.49406233","42.3763607","42.23842833","42.08026523","41.90187139","41.70324682","41.48439152","41.24530548","41.24530548","",
"Belgium","BEL","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.48415586","99.48439072","99.48462558","99.48486043","99.48509529","99.48533015","99.485565","99.48579986","99.48603472","99.48612539","99.48612539","99.48612539","99.48612539","99.48612539","99.48612539","99.48612539","99.48612539","99.48612539","99.48612539","99.48612539","99.48612539","",
"Benin","BEN","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.85804401","20.16980325","20.48375013","20.79988466","21.11820683","21.43871665","21.76141411","22.08629921","22.41337195","22.74263235","23.07408038","23.40771606","23.74353938","24.08155034","24.42174895","24.7641352","25.1087091","25.45547064","25.80441982","26.15555665","26.50888112","",
"Burkina Faso","BFA","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.54533157","48.54533157","48.18756719","47.82115006","47.4460802","47.06235759","46.66998225","46.26895417","45.85927334","45.44093977","45.01395347","44.57831442","44.13402263","43.6810781","43.21948083","42.74923083","42.27032808","41.78277258","41.28656435","40.78170338","40.26818967","",
"Bangladesh","BGD","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.72726984","41.57246345","42.41765707","43.26285069","44.1080443","44.71665595","45.31637134","45.90719049","46.48911339","47.06214004","47.62627044","48.1815046","48.72784251","49.26528417","49.79382958","50.31347874","50.82423166","51.32608833","51.81904875","52.30311292","52.77828084","",
"Bulgaria","BGR","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","86.7803838","",
"Bahrain","BHR","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.47196773","98.51212602","98.5522843","98.59244259","98.63260087","98.65611957","98.67962473","98.70311634","98.7265944","98.75005892","98.7735099","98.79694733","98.82037122","98.84378157","98.86717837","98.86717837","98.86717837","98.86717837","98.86717837","98.86717837","98.86717837","",
"Belarus","BLR","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8339481","89.8339481","89.8339481","89.8339481","90.58935561","91.34498087","92.10082389","92.85688466","93.61316319","94.36965947","95.12637351","95.8833053","96.64045485","97.39782216","98.15540722","98.16978459","98.18416196","98.19853933","98.2129167","98.22729407","98.24167144","",
