Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Turkiye,TUR,..,2.51688003540039,4.38721990585327,4.34481000900269,4.41258001327515,4.32219982147217,4.62773990631104,4.32368993759155,4.29406976699829,4.4477801322937,3.35999989509583,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Turkmenistan,TKM,..,..,3.04924988746643,..,..,..,..,..,..,3.12065005302429,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Turks and Caicos Islands,TCA,..,4.71883010864258,2.97579216957092,2.67414927482605,2.59191036224365,3.09325003623962,2.90744996070862,2.74055004119873,2.7437698841095,2.50508999824524,3.27049994468689,4.49429988861084
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tuvalu,TUV,7.55418014526367,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Uganda,UGA,..,2.461669921875,1.79746997356415,1.87114000320435,1.91472005844116,2.32152009010315,2.13789010047913,2.25363993644714,2.13052010536194,1.52999997138977,2.58628010749817,2.66505002975464
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Ukraine,UKR,..,4.02293014526367,6.44269990921021,6.41989994049072,5.87493991851807,5.74255990982056,5.00977993011475,5.41707992553711,5.3199200630188,5.44129991531372,5.38231992721558,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,United Arab Emirates,ARE,..,..,1.30518019199371,1.44603025913239,1.53731870651245,1.70920169353485,1.73710942268372,1.63756906986237,1.51074528694153,3.86736989021301,3.87986993789673,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,United Kingdom,GBR,4.05552005767822,4.0231499671936,5.6596040725708,5.50078010559082,5.56450986862183,5.51411008834839,5.37532997131348,5.38499021530151,5.16799020767212,5.20774984359741,5.53000020980835,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,United States,USA,..,..,6.27585649490356,6.25093173980713,6.13738822937012,4.95341014862061,4.79815006256104,5.10922002792358,4.91233015060425,4.98870992660522,6.05000019073486,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Uruguay,URY,..,2.42254996299744,4.33051729202271,4.51938009262085,4.58498001098633,4.55424976348877,4.38281011581421,4.47097015380859,4.66279983520508,4.70325994491577,4.55207014083862,..
